Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Months Code,Months,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,,#indicator+name,,,,#date+year,,,#indicator+type,#indicator+value+num,
OMN,01/01/2011,31/12/2011,221,'512,Oman,486,'01312,Bananas,5530,Producer Price (LCU/tonne),2011,2011,7021,Annual value,LCU,125,A
OMN,01/01/2012,31/12/2012,221,'512,Oman,486,'01312,Bananas,5530,Producer Price (LCU/tonne),2012,2012,7021,Annual value,LCU,125.3,A
OMN,01/01/2014,31/12/2014,221,'512,Oman,486,'01312,Bananas,5530,Producer Price (LCU/tonne),2014,2014,7021,Annual value,LCU,231.7,A
OMN,01/01/2015,31/12/2015,221,'512,Oman,486,'01312,Bananas,5530,Producer Price (LCU/tonne),2015,2015,7021,Annual value,LCU,192.8,A
OMN,01/01/2016,31/12/2016,221,'512,Oman,486,'01312,Bananas,5530,Producer Price (LCU/tonne),2016,2016,7021,Annual value,LCU,272.8,A
OMN,01/01/2017,31/12/2017,221,'512,Oman,486,'01312,Bananas,5530,Producer Price (LCU/tonne),2017,2017,7021,Annual value,LCU,272.8,A
OMN,01/01/2018,31/12/2018,221,'512,Oman,486,'01312,Bananas,5530,Producer Price (LCU/tonne),2018,2018,7021,Annual value,LCU,272.8,A
OMN,01/01/2019,31/12/2019,221,'512,Oman,486,'01312,Bananas,5530,Producer Price (LCU/tonne),2019,2019,7021,Annual value,LCU,272.8,A
OMN,01/01/2020,31/12/2020,221,'512,Oman,486,'01312,Bananas,5530,Producer Price (LCU/tonne),2020,2020,7021,Annual value,LCU,272.8,A
OMN,01/01/2021,31/12/2021,221,'512,Oman,486,'01312,Bananas,5530,Producer Price (LCU/tonne),2021,2021,7021,Annual value,LCU,272.8,A
OMN,01/01/2011,31/12/2011,221,'512,Oman,486,'01312,Bananas,5531,Producer Price (SLC/tonne),2011,2011,7021,Annual value,SLC,125,A
OMN,01/01/2012,31/12/2012,221,'512,Oman,486,'01312,Bananas,5531,Producer Price (SLC/tonne),2012,2012,7021,Annual value,SLC,125.3,A
OMN,01/01/2014,31/12/2014,221,'512,Oman,486,'01312,Bananas,5531,Producer Price (SLC/tonne),2014,2014,7021,Annual value,SLC,231.7,A
OMN,01/01/2015,31/12/2015,221,'512,Oman,486,'01312,Bananas,5531,Producer Price (SLC/tonne),2015,2015,7021,Annual value,SLC,192.8,A
OMN,01/01/2016,31/12/2016,221,'512,Oman,486,'01312,Bananas,5531,Producer Price (SLC/tonne),2016,2016,7021,Annual value,SLC,272.8,A
OMN,01/01/2017,31/12/2017,221,'512,Oman,486,'01312,Bananas,5531,Producer Price (SLC/tonne),2017,2017,7021,Annual value,SLC,272.8,A
OMN,01/01/2018,31/12/2018,221,'512,Oman,486,'01312,Bananas,5531,Producer Price (SLC/tonne),2018,2018,7021,Annual value,SLC,272.8,A
OMN,01/01/2019,31/12/2019,221,'512,Oman,486,'01312,Bananas,5531,Producer Price (SLC/tonne),2019,2019,7021,Annual value,SLC,272.8,A
OMN,01/01/2020,31/12/2020,221,'512,Oman,486,'01312,Bananas,5531,Producer Price (SLC/tonne),2020,2020,7021,Annual value,SLC,272.8,A
